,csp1,csp2,csp3
227,558.545,255.774,283.648
228,543.687,127.041,312.948
229,432.225,14.017,240.939
230,282.863,0.000,113.398
231,110.293,0.000,1.239
232,0.000,0.000,0.000
233,0.000,0.000,0.000
234,0.000,0.000,0.000
235,0.000,0.000,0.000
236,0.000,0.000,0.000
237,0.000,0.000,0.000
238,0.000,0.000,0.000
239,0.000,0.000,0.000
240,0.000,0.000,0.000
241,0.000,0.000,0.000
242,0.000,0.000,0.000
243,0.000,0.000,0.000
244,0.000,0.000,0.000
245,0.000,0.000,0.000
246,0.000,6.290,0.000
247,38.887,175.417,0.000
248,289.878,282.645,0.000
249,450.525,337.521,23.003
250,527.185,333.545,171.715
251,545.089,253.520,278.058
252,537.408,125.491,310.227
253,465.165,0.000,255.897
254,331.868,0.000,126.813
255,111.770,0.000,0.000
256,0.000,0.000,0.000
257,0.000,0.000,0.000
258,0.000,0.000,0.000
259,0.000,0.000,0.000
260,0.000,0.000,0.000
261,0.000,0.000,0.000
262,0.000,0.000,0.000
263,0.000,0.000,0.000
264,0.000,0.000,0.000
265,0.000,0.000,0.000
266,0.000,0.000,0.000
267,0.000,0.000,0.000
268,0.000,0.000,0.000
269,0.000,0.000,0.000
270,0.000,8.732,0.000
271,0.000,164.356,0.000
272,156.268,287.721,0.000
273,322.913,335.807,0.000
274,319.938,333.057,189.491
275,381.997,260.905,286.830
276,471.405,137.400,321.864
277,279.975,0.000,260.440
278,206.779,0.000,139.134
279,59.337,0.000,0.000
280,0.000,0.000,0.000
281,0.000,0.000,0.000
282,0.000,0.000,0.000
283,0.000,0.000,0.000
284,0.000,0.000,0.000
285,0.000,0.000,0.000
286,0.000,0.000,0.000
287,0.000,0.000,0.000
288,0.000,0.000,0.000
289,0.000,0.000,0.000
290,0.000,0.000,0.000
291,0.000,0.000,0.000
292,0.000,0.000,0.000
293,0.000,0.000,0.000
294,0.000,22.154,0.000
295,32.485,168.643,0.000
296,319.556,238.211,0.000
297,483.035,267.802,26.924
298,539.539,340.240,180.509
299,557.356,263.112,208.731
300,531.309,142.065,301.327
301,474.166,0.000,276.385
302,340.498,0.000,149.714
303,113.156,0.000,4.140
304,0.000,0.000,0.000
305,0.000,0.000,0.000
306,0.000,0.000,0.000
307,0.000,0.000,0.000
308,0.000,0.000,0.000
309,0.000,0.000,0.000
310,0.000,0.000,0.000
311,0.000,0.000,0.000
312,0.000,0.000,0.000
313,0.000,0.000,0.000
314,0.000,0.000,0.000
315,0.000,0.000,0.000
316,0.000,0.000,0.000
317,0.000,0.000,0.000
318,0.000,0.000,0.000
319,34.645,24.054,0.000
320,283.828,85.362,0.000
321,441.158,139.160,0.000
322,523.205,209.670,11.703
323,535.356,145.380,102.569
324,530.431,18.181,253.279
325,472.082,0.000,278.411
326,339.994,0.000,151.617
327,120.760,0.000,5.404
328,0.000,0.000,0.000
329,0.000,0.000,0.000
330,0.000,0.000,0.000
331,0.000,0.000,0.000
332,0.000,0.000,0.000
333,0.000,0.000,0.000
334,0.000,0.000,0.000
335,0.000,0.000,0.000
336,0.000,0.000,0.000
337,0.000,0.000,0.000
338,0.000,0.000,0.000
339,0.000,0.000,0.000
340,0.000,0.000,0.000
341,0.000,0.000,0.000
342,0.000,0.000,0.000
343,30.222,0.000,0.000
344,281.186,36.288,0.000
345,439.440,43.909,3.989
346,523.500,64.006,128.876
347,536.436,11.935,248.846
348,528.174,0.000,263.266
349,469.509,0.000,169.395
350,344.714,0.000,59.497
351,114.625,0.000,0.000
352,0.000,0.000,0.000
