,tamanrasset,cardak,toledo,hail,minya
131,0.5824239999999999,0.4351100000000001,0.45333,0.474927,0.505509
132,0.57695,0.29849000000000003,0.459218,0.285052,0.408611
133,0.541849,0.0,0.4179100000000001,0.0,0.137147
134,0.44443,0.0,0.302021,0.0,0.0
135,0.214332,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.217515,0.0
150,0.0,0.0,0.0,0.45084,0.301002
151,0.11383,0.336963,0.0,0.53551,0.483526
152,0.434238,0.4493180000000001,0.0,0.5661010000000001,0.54948
153,0.53604,0.491508,0.152094,0.567191,0.568303
154,0.574954,0.486815,0.383187,0.543176,0.5585289999999999
155,0.5833659999999999,0.4357720000000001,0.449375,0.469775,0.516642
156,0.576711,0.279027,0.459548,0.278691,0.404564
157,0.540578,0.0,0.417407,0.0,0.114016
158,0.449826,0.0,0.302687,0.0,0.0
159,0.192554,0.0,0.0,0.0,0.0
160,0.0,0.0,0.0,0.0,0.0
161,0.0,0.0,0.0,0.0,0.0
162,0.0,0.0,0.0,0.0,0.0
163,0.0,0.0,0.0,0.0,0.0
164,0.0,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0,0.0
166,0.0,0.0,0.0,0.0,0.0
167,0.0,0.0,0.0,0.0,0.0
168,0.0,0.0,0.0,0.0,0.0
169,0.0,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,0.0,0.0
173,0.0,0.0,0.0,0.0,0.0
174,0.0,0.05681,0.0,0.436551,0.196694
175,0.150768,0.342543,0.0,0.5293800000000001,0.468819
176,0.436728,0.446915,0.0,0.565395,0.539937
177,0.539338,0.486373,0.170172,0.567896,0.549637
178,0.5762189999999999,0.482488,0.389471,0.541991,0.454538
179,0.5851149999999999,0.431694,0.453633,0.468222,0.300809
180,0.578507,0.31319400000000003,0.463052,0.297863,0.0
181,0.543876,0.0,0.42261,0.0,0.0
182,0.44694,0.0,0.312224,0.0,0.0
183,0.23637600000000006,0.0,0.0,0.0,0.0
184,0.0,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0,0.0
186,0.0,0.0,0.0,0.0,0.0
187,0.0,0.0,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0,0.0
189,0.0,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0,0.0
191,0.0,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.075137,0.0
198,0.0,0.051526,0.0,0.429007,0.264867
199,0.138486,0.340505,0.0,0.534864,0.474379
200,0.441352,0.443938,0.0,0.567807,0.545553
201,0.542385,0.478785,0.148715,0.5700890000000001,0.5658350000000001
202,0.578462,0.473386,0.378342,0.5471159999999999,0.56245
203,0.5865600000000001,0.41952,0.4472100000000001,0.477139,0.527203
204,0.579735,0.290667,0.455034,0.309487,0.4270060000000001
205,0.545376,0.0,0.414049,0.0,0.179826
206,0.451337,0.0,0.301466,0.0,0.0
207,0.237393,0.0,0.0,0.0,0.0
208,0.0,0.0,0.0,0.0,0.0
209,0.0,0.0,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0,0.0
212,0.0,0.0,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0,0.0
214,0.0,0.0,0.0,0.0,0.0
215,0.0,0.0,0.0,0.0,0.0
216,0.0,0.0,0.0,0.0,0.0
217,0.0,0.0,0.0,0.0,0.0
218,0.0,0.0,0.0,0.0,0.0
219,0.0,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0,0.0
221,0.0,0.0,0.0,0.190497,0.0
222,0.0,0.037168,0.0,0.435018,0.270956
223,0.163771,0.33970300000000003,0.0,0.527187,0.467883
224,0.444817,0.442724,0.0,0.5605939999999999,0.5394399999999999
225,0.542226,0.47687,0.101547,0.547299,0.56042
226,0.580589,0.474825,0.380524,0.458362,0.557046
227,0.589805,0.424169,0.452389,0.421708,0.521071
228,0.5833550000000001,0.298919,0.462941,0.226438,0.422979
229,0.5443640000000001,0.059903,0.419754,0.0,0.235241
230,0.445454,0.0,0.304017,0.0,0.0
231,0.251238,0.0,0.009914,0.0,0.0
232,0.0,0.0,0.0,0.0,0.0
233,0.0,0.0,0.0,0.0,0.0
234,0.0,0.0,0.0,0.0,0.0
235,0.0,0.0,0.0,0.0,0.0
236,0.0,0.0,0.0,0.0,0.0
237,0.0,0.0,0.0,0.0,0.0
238,0.0,0.0,0.0,0.0,0.0
239,0.0,0.0,0.0,0.0,0.0
240,0.0,0.0,0.0,0.0,0.0
241,0.0,0.0,0.0,0.0,0.0
242,0.0,0.0,0.0,0.0,0.0
243,0.0,0.0,0.0,0.0,0.0
244,0.0,0.0,0.0,0.0,0.0
245,0.0,0.0,0.0,0.172535,0.0
246,0.0,0.037662,0.0,0.442629,0.279473
247,0.16981300000000002,0.338642,0.0,0.534309,0.474186
248,0.448034,0.439572,0.0,0.566553,0.5446880000000001
249,0.550091,0.478753,0.12639,0.565441,0.5645979999999999
250,0.587066,0.475135,0.366131,0.542024,0.560276
251,0.595726,0.422534,0.437886,0.469591,0.526842
252,0.58991,0.297373,0.449604,0.28591700000000003,0.431928
253,0.555089,0.0,0.408781,0.0,0.194124
254,0.462212,0.0,0.293549,0.0,0.0
255,0.258728,0.0,0.0,0.0,0.0
256,0.0,0.0,0.0,0.0,0.0
257,0.0,0.0,0.0,0.0,0.0
258,0.0,0.0,0.0,0.0,0.0
259,0.0,0.0,0.0,0.0,0.0
260,0.0,0.0,0.0,0.0,0.0
261,0.0,0.0,0.0,0.0,0.0
262,0.0,0.0,0.0,0.0,0.0
263,0.0,0.0,0.0,0.0,0.0
264,0.0,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0,0.0
266,0.0,0.0,0.0,0.0,0.0
267,0.0,0.0,0.0,0.0,0.0
268,0.0,0.0,0.0,0.0,0.0
269,0.0,0.0,0.0,0.190405,0.0
270,0.0,0.046944,0.0,0.4410060000000001,0.219507
271,0.0,0.330032,0.0,0.531537,0.459237
272,0.410153,0.436603,0.0,0.564317,0.535515
273,0.531107,0.476999,0.0,0.5637909999999999,0.561229
274,0.561295,0.473765,0.373014,0.540359,0.559702
275,0.577908,0.422861,0.439923,0.4684,0.526462
276,0.581264,0.303983,0.453329,0.288591,0.433578
277,0.527259,0.0,0.412088,0.0,0.213102
278,0.433498,0.0,0.303124,0.0,0.0
279,0.213441,0.0,0.0,0.0,0.0
280,0.0,0.0,0.0,0.0,0.0
281,0.0,0.0,0.0,0.0,0.0
282,0.0,0.0,0.0,0.0,0.0
283,0.0,0.0,0.0,0.0,0.0
284,0.0,0.0,0.0,0.0,0.0
285,0.0,0.0,0.0,0.0,0.0
286,0.0,0.0,0.0,0.0,0.0
287,0.0,0.0,0.0,0.0,0.0
288,0.0,0.0,0.0,0.0,0.0
289,0.0,0.0,0.0,0.0,0.0
290,0.0,0.0,0.0,0.0,0.0
291,0.0,0.0,0.0,0.0,0.0
292,0.0,0.0,0.0,0.0,0.0
293,0.0,0.0,0.0,0.257198,0.0
294,0.0,0.102567,0.0,0.439889,0.049953
295,0.151094,0.340693,0.0,0.5303399999999999,0.40954
296,0.4481850000000001,0.435486,0.0,0.564006,0.528818
297,0.547659,0.469828,0.164171,0.564225,0.5619529999999999
298,0.583917,0.478537,0.385704,0.541575,0.561014
299,0.592932,0.427825,0.437592,0.469884,0.527663
300,0.585787,0.310864,0.46145,0.298725,0.42985
301,0.551998,0.0,0.42652,0.0,0.197961
302,0.459511,0.0,0.32266,0.0,0.0
303,0.257759,0.0,0.029787,0.0,0.0
304,0.0,0.0,0.0,0.0,0.0
305,0.0,0.0,0.0,0.0,0.0
306,0.0,0.0,0.0,0.0,0.0
307,0.0,0.0,0.0,0.0,0.0
308,0.0,0.0,0.0,0.0,0.0
309,0.0,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0,0.0
311,0.0,0.0,0.0,0.0,0.0
312,0.0,0.0,0.0,0.0,0.0
313,0.0,0.0,0.0,0.0,0.0
314,0.0,0.0,0.0,0.0,0.0
315,0.0,0.0,0.0,0.0,0.0
316,0.0,0.0,0.0,0.0,0.0
317,0.0,0.0,0.0,0.099324,0.0
318,0.0,0.0,0.0,0.424714,0.14042000000000002
319,0.147424,0.16939500000000002,0.0,0.5236310000000001,0.454193
320,0.436659,0.3542,0.0,0.558772,0.535416
321,0.538655,0.425567,0.0,0.55979,0.558211
322,0.5781270000000001,0.452851,0.120646,0.53793,0.512199
323,0.587013,0.391861,0.379884,0.469492,0.513055
324,0.5822510000000001,0.13568,0.44749,0.303209,0.440726
325,0.548295,0.0,0.421197,0.0,0.223457
326,0.4557560000000001,0.0,0.316529,0.0,0.0
327,0.260821,0.0,0.034422,0.0,0.0
328,0.0,0.0,0.0,0.0,0.0
329,0.0,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0,0.0
331,0.0,0.0,0.0,0.0,0.0
332,0.0,0.0,0.0,0.0,0.0
333,0.0,0.0,0.0,0.0,0.0
334,0.0,0.0,0.0,0.0,0.0
335,0.0,0.0,0.0,0.0,0.0
336,0.0,0.0,0.0,0.0,0.0
337,0.0,0.0,0.0,0.0,0.0
338,0.0,0.0,0.0,0.0,0.0
339,0.0,0.0,0.0,0.0,0.0
