,X1,X2,X3
318,0,0,0
319,0,0,0
320,0,0,0
321,0.204,0.204,0.204
322,0.43,0.43,0.43
323,0.574,0.574,0.574
324,0.662,0.662,0.662
325,0.581,0.581,0.581
326,0.393,0.393,0.393
327,0.119,0.119,0.119
328,0.002,0.002,0.002
329,0,0,0
330,0,0,0
331,0,0,0
332,0,0,0
333,0,0,0
334,0,0,0
335,0,0,0
336,0,0,0
337,0,0,0
338,0,0,0
339,0,0,0
340,0,0,0
341,0,0,0
342,0,0,0
343,0,0,0
344,0.017,0.017,0.017
345,0.083,0.083,0.083
346,0.109,0.109,0.109
347,0.092,0.092,0.092
348,0.071,0.071,0.071
349,0.081,0.081,0.081
350,0.043,0.043,0.043
351,0.015,0.015,0.015
352,0.002,0.002,0.002
353,0,0,0
354,0,0,0
355,0,0,0
356,0,0,0
357,0,0,0
358,0,0,0
359,0,0,0
360,0,0,0
361,0,0,0
362,0,0,0
363,0,0,0
364,0,0,0
365,0,0,0
366,0,0,0
367,0,0,0
368,0.008,0.008,0.008
369,0.079,0.079,0.079
370,0.42,0.42,0.42
371,0.449,0.449,0.449
372,0.493,0.493,0.493
373,0.328,0.328,0.328
374,0.241,0.241,0.241
375,0.218,0.218,0.218
376,0.024,0.024,0.024
377,0,0,0
378,0,0,0
379,0,0,0
380,0,0,0
381,0,0,0
382,0,0,0
383,0,0,0
384,0,0,0
385,0,0,0
386,0,0,0
387,0,0,0
388,0,0,0
389,0,0,0
390,0,0,0
391,0,0,0
392,0.016,0.016,0.016
393,0.204,0.204,0.204
394,0.456,0.456,0.456
395,0.556,0.556,0.556
396,0.532,0.532,0.532
397,0.464,0.464,0.464
398,0.172,0.172,0.172
399,0.159,0.159,0.159
400,0.015,0.015,0.015
401,0,0,0
402,0,0,0
403,0,0,0
404,0,0,0
405,0,0,0
406,0,0,0
407,0,0,0
408,0,0,0
409,0,0,0
410,0,0,0
411,0,0,0
412,0,0,0
413,0,0,0
414,0,0,0
415,0,0,0
416,0.003,0.003,0.003
417,0.052,0.052,0.052
418,0.117,0.117,0.117
419,0.096,0.096,0.096
420,0.229,0.229,0.229
421,0.226,0.226,0.226
422,0.177,0.177,0.177
423,0.055,0.055,0.055
424,0.006,0.006,0.006
425,0,0,0
426,0,0,0
427,0,0,0
428,0,0,0
429,0,0,0
430,0,0,0
431,0,0,0
432,0,0,0
433,0,0,0
434,0,0,0
435,0,0,0
436,0,0,0
437,0,0,0
438,0,0,0
439,0,0,0
440,0.001,0.001,0.001
441,0.047,0.047,0.047
442,0.127,0.127,0.127
443,0.27,0.27,0.27
444,0.292,0.292,0.292
445,0.349,0.349,0.349
446,0.274,0.274,0.274
447,0.145,0.145,0.145
448,0.015,0.015,0.015
449,0,0,0
450,0,0,0
451,0,0,0
452,0,0,0
453,0,0,0
454,0,0,0
455,0,0,0
456,0,0,0
457,0,0,0
458,0,0,0
459,0,0,0
460,0,0,0
461,0,0,0
462,0,0,0
463,0,0,0
464,0.024,0.024,0.024
465,0.164,0.164,0.164
466,0.277,0.277,0.277
467,0.333,0.333,0.333
468,0.414,0.414,0.414
469,0.354,0.354,0.354
470,0.217,0.217,0.217
471,0.071,0.071,0.071
472,0.004,0.004,0.004
473,0,0,0
474,0,0,0
475,0,0,0
476,0,0,0
477,0,0,0
478,0,0,0
479,0,0,0
480,0,0,0
481,0,0,0
482,0,0,0
483,0,0,0
484,0,0,0
485,0,0,0
486,0,0,0
487,0,0,0
488,0.006,0.006,0.006
489,0.07,0.07,0.07
490,0.202,0.202,0.202
491,0.237,0.237,0.237
492,0.291,0.291,0.291
493,0.544,0.544,0.544
494,0.463,0.463,0.463
495,0.254,0.254,0.254
496,0.028,0.028,0.028
497,0,0,0
498,0,0,0
499,0,0,0
500,0,0,0
501,0,0,0
502,0,0,0
503,0,0,0
504,0,0,0
505,0,0,0
506,0,0,0
507,0,0,0
508,0,0,0
509,0,0,0
510,0,0,0
511,0,0,0
512,0.007,0.007,0.007
513,0.028,0.028,0.028
514,0.191,0.191,0.191
515,0.072,0.072,0.072
516,0.174,0.174,0.174
517,0.483,0.483,0.483
518,0.422,0.422,0.422
519,0.092,0.092,0.092
520,0.008,0.008,0.008
521,0,0,0
522,0,0,0
